german_word,korean_meaning,german_example,pos,ko_example_translation,verb_type,verb_case,verb_prep,complement_structure,reflexive,adj_prep,adj_case,theme,category,date_added
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
Maßnahmen ergreifen,조치를 취하다 / to take measures,Die Regierung ergreift Maßnahmen gegen Ungleichheit.,Nomen-Verb,정부는 불평등에 대한 조치를 취한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
tendenziell,경향상 / tendentially,Tendenziell bevorzugen Studierende praxisnahe Inhalte.,Adjektiv/Adverb,경향상 학생들은 실용적 내용을 선호한다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
sich konzentrieren auf,집중하다 / to focus on,Die Studierenden konzentrieren sich auf die Prüfung.,verb,학생들은 시험에 집중한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
unterstützen,지원하다 / to support,Das Stipendium unterstützt die Studierenden.,verb,장학금은 학생들을 지원한다.,akkusativ,Akk,,jdn/etw (Akk),nein,,,Bildung,4격 지배 동사,2025-08-26
sich bewerben um,지원하다 / to apply for,Sie bewirbt sich um ein Stipendium.,verb,그녀는 장학금에 지원한다.,prepositional,Akk,um,sich um + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
die Kompetenzorientierung,역량 지향 / competence orientation,Kompetenzorientierung prägt die moderne Didaktik.,Nomen,역량 지향이 현대 교육학을 형성한다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
bewerten,평가하다 / to evaluate,Die Lehrerin bewertet die Hausaufgaben.,verb,교사는 숙제를 평가한다.,akkusativ,Akk,,etw (Akk) bewerten,nein,,,Bildung,4격 지배 동사,2025-08-26
laut einer Studie,연구에 따르면 / according to a study,Laut einer Studie verbessert Lesen die Konzentration.,Präpositionale Fügung,연구에 따르면 독서는 집중력을 향상시킨다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
wie der Autor betont,저자가 강조했듯이 / as the author emphasizes,"Wie der Autor betont, spielt Bildung eine Schlüsselrolle.",Satzteil,저자가 강조했듯이 교육은 핵심적인 역할을 한다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
tendenziell,경향상 / tendentially,Tendenziell bevorzugen Studierende praxisnahe Inhalte.,Adjektiv/Adverb,경향상 학생들은 실용적 내용을 선호한다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
sich konzentrieren auf,집중하다 / to focus on,Die Studierenden konzentrieren sich auf die Prüfung.,verb,학생들은 시험에 집중한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
"Es lässt sich feststellen, dass …",…라고 말할 수 있다 / it can be stated that,"Es lässt sich feststellen, dass Bildung wichtig ist.",Satzmuster,교육이 중요하다고 말할 수 있다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
sich konzentrieren auf,집중하다 / to focus on,Die Studierenden konzentrieren sich auf die Prüfung.,verb,학생들은 시험에 집중한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
"Es wäre besser, wenn …",…하면 더 좋을 것이다 / It would be better if …,"Es wäre besser, wenn die Schüler früher anfangen.",Sprechakt,학생들이 더 일찍 시작하면 더 좋을 것이다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
Maßnahmen ergreifen,조치를 취하다 / to take measures,Die Regierung ergreift Maßnahmen gegen Ungleichheit.,Nomen-Verb,정부는 불평등에 대한 조치를 취한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
im Durchschnitt,평균적으로 / on average,Im Durchschnitt lernen die Kinder 3 Stunden täglich.,Adverbiale Fügung,평균적으로 아이들은 하루 3시간을 공부한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
sich konzentrieren auf,집중하다 / to focus on,Die Studierenden konzentrieren sich auf die Prüfung.,verb,학생들은 시험에 집중한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
bewerten,평가하다 / to evaluate,Die Lehrerin bewertet die Hausaufgaben.,verb,교사는 숙제를 평가한다.,akkusativ,Akk,,etw (Akk) bewerten,nein,,,Bildung,4격 지배 동사,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
die Kompetenzorientierung,역량 지향 / competence orientation,Kompetenzorientierung prägt die moderne Didaktik.,Nomen,역량 지향이 현대 교육학을 형성한다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
im Durchschnitt,평균적으로 / on average,Im Durchschnitt lernen die Kinder 3 Stunden täglich.,Adverbiale Fügung,평균적으로 아이들은 하루 3시간을 공부한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
wie der Autor betont,저자가 강조했듯이 / as the author emphasizes,"Wie der Autor betont, spielt Bildung eine Schlüsselrolle.",Satzteil,저자가 강조했듯이 교육은 핵심적인 역할을 한다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
sich bewerben um,지원하다 / to apply for,Sie bewirbt sich um ein Stipendium.,verb,그녀는 장학금에 지원한다.,prepositional,Akk,um,sich um + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
die Kompetenzorientierung,역량 지향 / competence orientation,Kompetenzorientierung prägt die moderne Didaktik.,Nomen,역량 지향이 현대 교육학을 형성한다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
unterstützen,지원하다 / to support,Das Stipendium unterstützt die Studierenden.,verb,장학금은 학생들을 지원한다.,akkusativ,Akk,,jdn/etw (Akk),nein,,,Bildung,4격 지배 동사,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
im Durchschnitt,평균적으로 / on average,Im Durchschnitt lernen die Kinder 3 Stunden täglich.,Adverbiale Fügung,평균적으로 아이들은 하루 3시간을 공부한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
"Es lässt sich feststellen, dass …",…라고 말할 수 있다 / it can be stated that,"Es lässt sich feststellen, dass Bildung wichtig ist.",Satzmuster,교육이 중요하다고 말할 수 있다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
tendenziell,경향상 / tendentially,Tendenziell bevorzugen Studierende praxisnahe Inhalte.,Adjektiv/Adverb,경향상 학생들은 실용적 내용을 선호한다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
einen Beitrag leisten,기여하다 / to make a contribution,Digitale Medien leisten einen Beitrag zur Bildung.,Nomen-Verb,디지털 매체는 교육에 기여한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
laut einer Studie,연구에 따르면 / according to a study,Laut einer Studie verbessert Lesen die Konzentration.,Präpositionale Fügung,연구에 따르면 독서는 집중력을 향상시킨다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
"Zum einen …, zum anderen …",한편으로 … 다른 한편으로 … / on the one hand … on the other hand …,"Zum einen ist Bildung teuer, zum anderen notwendig.",Satzmuster,한편으로 교육은 비싸지만 다른 한편으로는 필요하다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
sich bewerben um,지원하다 / to apply for,Sie bewirbt sich um ein Stipendium.,verb,그녀는 장학금에 지원한다.,prepositional,Akk,um,sich um + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
bewerten,평가하다 / to evaluate,Die Lehrerin bewertet die Hausaufgaben.,verb,교사는 숙제를 평가한다.,akkusativ,Akk,,etw (Akk) bewerten,nein,,,Bildung,4격 지배 동사,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
"Es lässt sich feststellen, dass …",…라고 말할 수 있다 / it can be stated that,"Es lässt sich feststellen, dass Bildung wichtig ist.",Satzmuster,교육이 중요하다고 말할 수 있다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
"Es wäre besser, wenn …",…하면 더 좋을 것이다 / It would be better if …,"Es wäre besser, wenn die Schüler früher anfangen.",Sprechakt,학생들이 더 일찍 시작하면 더 좋을 것이다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
unterstützen,지원하다 / to support,Das Stipendium unterstützt die Studierenden.,verb,장학금은 학생들을 지원한다.,akkusativ,Akk,,jdn/etw (Akk),nein,,,Bildung,4격 지배 동사,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
die Kompetenzorientierung,역량 지향 / competence orientation,Kompetenzorientierung prägt die moderne Didaktik.,Nomen,역량 지향이 현대 교육학을 형성한다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
tendenziell,경향상 / tendentially,Tendenziell bevorzugen Studierende praxisnahe Inhalte.,Adjektiv/Adverb,경향상 학생들은 실용적 내용을 선호한다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
"Es wäre besser, wenn …",…하면 더 좋을 것이다 / It would be better if …,"Es wäre besser, wenn die Schüler früher anfangen.",Sprechakt,학생들이 더 일찍 시작하면 더 좋을 것이다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
wie der Autor betont,저자가 강조했듯이 / as the author emphasizes,"Wie der Autor betont, spielt Bildung eine Schlüsselrolle.",Satzteil,저자가 강조했듯이 교육은 핵심적인 역할을 한다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
unterstützen,지원하다 / to support,Das Stipendium unterstützt die Studierenden.,verb,장학금은 학생들을 지원한다.,akkusativ,Akk,,jdn/etw (Akk),nein,,,Bildung,4격 지배 동사,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
einen Beitrag leisten,기여하다 / to make a contribution,Digitale Medien leisten einen Beitrag zur Bildung.,Nomen-Verb,디지털 매체는 교육에 기여한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
"Zum einen …, zum anderen …",한편으로 … 다른 한편으로 … / on the one hand … on the other hand …,"Zum einen ist Bildung teuer, zum anderen notwendig.",Satzmuster,한편으로 교육은 비싸지만 다른 한편으로는 필요하다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
"Es wäre besser, wenn …",…하면 더 좋을 것이다 / It would be better if …,"Es wäre besser, wenn die Schüler früher anfangen.",Sprechakt,학생들이 더 일찍 시작하면 더 좋을 것이다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
"Zum einen …, zum anderen …",한편으로 … 다른 한편으로 … / on the one hand … on the other hand …,"Zum einen ist Bildung teuer, zum anderen notwendig.",Satzmuster,한편으로 교육은 비싸지만 다른 한편으로는 필요하다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
wie der Autor betont,저자가 강조했듯이 / as the author emphasizes,"Wie der Autor betont, spielt Bildung eine Schlüsselrolle.",Satzteil,저자가 강조했듯이 교육은 핵심적인 역할을 한다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
sich konzentrieren auf,집중하다 / to focus on,Die Studierenden konzentrieren sich auf die Prüfung.,verb,학생들은 시험에 집중한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
Maßnahmen ergreifen,조치를 취하다 / to take measures,Die Regierung ergreift Maßnahmen gegen Ungleichheit.,Nomen-Verb,정부는 불평등에 대한 조치를 취한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
einen Beitrag leisten,기여하다 / to make a contribution,Digitale Medien leisten einen Beitrag zur Bildung.,Nomen-Verb,디지털 매체는 교육에 기여한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
"Zum einen …, zum anderen …",한편으로 … 다른 한편으로 … / on the one hand … on the other hand …,"Zum einen ist Bildung teuer, zum anderen notwendig.",Satzmuster,한편으로 교육은 비싸지만 다른 한편으로는 필요하다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
wie der Autor betont,저자가 강조했듯이 / as the author emphasizes,"Wie der Autor betont, spielt Bildung eine Schlüsselrolle.",Satzteil,저자가 강조했듯이 교육은 핵심적인 역할을 한다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
Maßnahmen ergreifen,조치를 취하다 / to take measures,Die Regierung ergreift Maßnahmen gegen Ungleichheit.,Nomen-Verb,정부는 불평등에 대한 조치를 취한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
Maßnahmen ergreifen,조치를 취하다 / to take measures,Die Regierung ergreift Maßnahmen gegen Ungleichheit.,Nomen-Verb,정부는 불평등에 대한 조치를 취한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
sich vorbereiten auf,준비하다 / to prepare for,Er bereitet sich auf die Präsentation vor.,verb,그는 발표를 준비한다.,prepositional,Akk,auf,sich auf + Akk,ja,,,Bildung,전치사 지배 동사/동사구,2025-08-26
einen Beitrag leisten,기여하다 / to make a contribution,Digitale Medien leisten einen Beitrag zur Bildung.,Nomen-Verb,디지털 매체는 교육에 기여한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
der Anteil,비율 / proportion,Der Anteil der Frauen im Studium steigt.,Nomen,대학에서 여성의 비율이 증가한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
laut einer Studie,연구에 따르면 / according to a study,Laut einer Studie verbessert Lesen die Konzentration.,Präpositionale Fügung,연구에 따르면 독서는 집중력을 향상시킨다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
unterstützen,지원하다 / to support,Das Stipendium unterstützt die Studierenden.,verb,장학금은 학생들을 지원한다.,akkusativ,Akk,,jdn/etw (Akk),nein,,,Bildung,4격 지배 동사,2025-08-26
die Kompetenzorientierung,역량 지향 / competence orientation,Kompetenzorientierung prägt die moderne Didaktik.,Nomen,역량 지향이 현대 교육학을 형성한다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
"Es wäre besser, wenn …",…하면 더 좋을 것이다 / It would be better if …,"Es wäre besser, wenn die Schüler früher anfangen.",Sprechakt,학생들이 더 일찍 시작하면 더 좋을 것이다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
laut einer Studie,연구에 따르면 / according to a study,Laut einer Studie verbessert Lesen die Konzentration.,Präpositionale Fügung,연구에 따르면 독서는 집중력을 향상시킨다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
die Chancengerechtigkeit,기회의 공정성 / equity of opportunity,Chancengerechtigkeit bleibt ein wichtiges Ziel.,Nomen,기회의 공정성은 중요한 목표로 남는다.,,,,,,,,Bildung,학술 명사구·콜로케이션,2025-08-26
"Zum einen …, zum anderen …",한편으로 … 다른 한편으로 … / on the one hand … on the other hand …,"Zum einen ist Bildung teuer, zum anderen notwendig.",Satzmuster,한편으로 교육은 비싸지만 다른 한편으로는 필요하다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
zustimmen,동의하다 / to agree,Viele Eltern stimmen der Reform zu.,verb,많은 부모들이 개혁에 동의한다.,dative,Dat,,jdm/etw (Dat),nein,,,Bildung,3격 지배 동사,2025-08-26
"Es lässt sich feststellen, dass …",…라고 말할 수 있다 / it can be stated that,"Es lässt sich feststellen, dass Bildung wichtig ist.",Satzmuster,교육이 중요하다고 말할 수 있다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
einen Beitrag leisten,기여하다 / to make a contribution,Digitale Medien leisten einen Beitrag zur Bildung.,Nomen-Verb,디지털 매체는 교육에 기여한다.,,,,,,,,Bildung,Nomen-Verb-Verbindungen,2025-08-26
im Durchschnitt,평균적으로 / on average,Im Durchschnitt lernen die Kinder 3 Stunden täglich.,Adverbiale Fügung,평균적으로 아이들은 하루 3시간을 공부한다.,,,,,,,,Bildung,데이터·그래프 설명 구문,2025-08-26
"Es lässt sich feststellen, dass …",…라고 말할 수 있다 / it can be stated that,"Es lässt sich feststellen, dass Bildung wichtig ist.",Satzmuster,교육이 중요하다고 말할 수 있다.,,,,,,,,Bildung,논리적 문장틀·연결어,2025-08-26
helfen,돕다 / to help,Die Tutorin hilft den Studenten bei der Vorbereitung.,verb,튜터는 학생들의 준비를 돕는다.,dative,Dat,,jdm (Dat) bei + Dat,nein,,,Bildung,3격 지배 동사,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
bewerten,평가하다 / to evaluate,Die Lehrerin bewertet die Hausaufgaben.,verb,교사는 숙제를 평가한다.,akkusativ,Akk,,etw (Akk) bewerten,nein,,,Bildung,4격 지배 동사,2025-08-26
"Ich würde vorschlagen, dass …",…을 제안하고 싶다 / I would suggest that …,"Ich würde vorschlagen, dass wir mehr üben.",Sprechakt,나는 우리가 더 연습하자고 제안하고 싶다.,,,,,,,,Bildung,Konjunktiv I/II 및 상호작용 표현,2025-08-26
laut einer Studie,연구에 따르면 / according to a study,Laut einer Studie verbessert Lesen die Konzentration.,Präpositionale Fügung,연구에 따르면 독서는 집중력을 향상시킨다.,,,,,,,,Bildung,출처 인용/보고 구문,2025-08-26
weitgehend,대체로 / largely,Die Ergebnisse sind weitgehend positiv.,Adjektiv/Adverb,결과는 대체로 긍정적이다.,,,,,,,,Bildung,헤징·평가 부사/형용사,2025-08-26
